Week,Bin,Code,Treat,video,Arena,Fish_ID,Sex,Mark,Size,Camera,Stimulus,Day,Tank,Group_ID,Trial,MeanDist,TotalDist,MeanSpeed,MaxSpeed,MeanFreeze,FreqFreeze,TimeFreeze,PercFreeze,Freq5cm,Time5cm,Freq40cm,Time40cm,FreqNear,TimeNear,FreqMid,TimeMid,FreqFar,PercFar
1,3-6,S1,Pos,zf,Arena 1,114,F,Pur.Red,17.987,1,3.4,Thursday,1,g0095,Trial    33,0.343547,772.98,4.29444,16.6205,0.999975,2,1.99995,0.184788,11,135.517,0,0,1,145.596,2,32.7192,1,1.67996
1,3-6,S1,Pos,zf,Arena 1,115,F,Gre.Bla,18.496,2,1.4,Thursday,5,g0095,Trial    38,0.364357,1639.61,9.10937,33.9585,-,0,0,0,0,0,21,14.3193,0,0,45,62.0769,45,117.914
1,3-6,S1,Pos,zf,Arena 1,116,F,Pur.Yel,16.9,2,1.4,Thursday,5,g0095,Trial    36,0.287714,1294.71,7.19321,17.6946,0.039998,1,0.039998,0.00370041,18,69.7965,11,29.9185,8,101.035,16,28.5186,9,50.4375
1,3-6,S1,Pos,zf,Arena 1,119,M,Pur.Pur,19.01,1,3.4,Thursday,1,g0095,Trial    37,0.270437,608.482,3.38054,17.5394,0.213328,6,1.27997,0.118369,12,160.876,2,3.19992,1,173.196,1,0.879978,1,5.91985
1,3-6,S1,Pos,zf,Arena 1,123,M,_.Red,14.15,2,1.4,Thursday,5,g0094,Trial    28,0.338381,1522.71,8.45994,24.315,-,0,0,0,20,35.1182,20,38.2781,13,74.3963,26,36.5582,14,69.0365
1,3-6,S1,Pos,zf,Arena 1,132,M,Bro.Whi,17.575,2,1.4,Thursday,5,g0094,Trial    32,0.120709,543.191,3.01788,14.9274,8.0476,5,40.238,3.69703,20,119.554,0,0,1,139.593,1,40.398,0,0
1,3-6,S1,Pos,zf,Arena 1,133,F,Bro.Bla,16.55,1,3.4,Thursday,1,g0094,Trial    31,0.287598,647.094,3.59506,14.7952,0.159996,2,0.319992,0.0295924,14,154.156,0,0,3,173.356,3,6.63983,0,0
1,3-6,S1,Pos,zf,Arena 1,134,F,Bro.Bro,17.338,1,3.4,Thursday,1,g0094,Trial    29,0.298455,671.524,3.73078,15.4626,0.119997,4,0.479988,0.0443689,12,156.716,1,1.03997,4,170.156,4,6.55984,1,3.27992
1,3-6,S1,Pos,zf,Arena 1,142,F,Yel.Pur,16.5,1,3.4,Thursday,1,g0093,Trial    27,0.362995,816.739,4.53755,19.4239,0.13333,6,0.79998,0.0739809,12,165.036,0,0,3,178.076,2,1.91995,0,0
1,3-6,S1,Pos,zf,Arena 1,147,M,Red.Yel,18.57,2,1.4,Thursday,5,g0093,Trial    24,0.15296,688.321,3.8242,13.5778,0.406646,6,2.43988,0.214419,23,137.873,0,0,1,179.631,1,0.359982,0,0
